procs -----------memória--------- ---swap-- ----e/s---- -sistema- ------cpu-----
 r  b   swpd  livre   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3724656  78036 1510236    0    0   178  3525  309  624 17  4 79  1  0
 0  0      0 3725892  78056 1506308    0    0     0   904  551 1280  2  4 88  6  0
 0  0      0 3719652  78056 1514428    0    0     0     0  522 1533  2  2 95  0  0
 0  0      0 3718644  78056 1514428    0    0     0     0  378  900  2  1 97  0  0
 0  1      0 3719652  78064 1514436    0    0     0    52  398 1000  2  2 91  6  0
 0  0      0 3728132  78064 1505564    0    0     0   428  589 1143  2  2 90  7  0
 0  0      0 3735368  78088 1497480    0    0     0    88  393  874  1  1 89  9  0
 2  0      0 3743612  78088 1505588    0    0     0     0  929 1208  8  3 90  0  0
 0  0      0 3740844  78088 1505592    0    0     0     0  463 1110  3  1 96  0  0
 0  1      0 3740844  78092 1505596    0    0     0    40  308  696  1  1 96  2  0
 4  0      0 3720684  78104 1513776    0    0     0    44  380  866  3  1 91  5  0
 1  0      0 2730936  78104 1513820    0    0     0     0  979 1002 25  8 67  0  0
 2  1      0 996796  78104 1505380    0    0     0   136  982 1071 18 10 69  3  0
 4  0      0 562084  78112 1518780    0    0     0   840 7573 1105 69 11 16  4  0
 4  0      0 561584  78112 1510588    0    0     0     0 1205  672 98  2  0  0  0
 4  0      0 550924  78112 1512632    0    0     0     0 1527  766 98  2  0  0  0
 4  0      0 540420  78112 1512632    0    0     0     0 1311  900 97  4  0  0  0
 4  1      0 545460  78112 1504408    0    0     0    32 1243  934 97  3  0  0  0
 4  0      0 541988  78144 1512612    0    0     0   156 1461 1137 96  4  0  0  0
 4  0      0 542744  78144 1512612    0    0     0     0 1237  685 98  3  0  0  0
 4  0      0 550236  78144 1504528    0    0     0     0 1146  548 98  3  0  0  0
 5  0      0 552064  78144 1512608    0    0     0     4 1254  935 97  4  0  0  0
 5  0      0 541016  78144 1512500    0    0     0     0 1342  968 94  6  0  0  0
 4  1      0 539756  78152 1512604    0    0     0    48 1315  908 97  3  0  0  0
 4  0      0 538748  78152 1512612    0    0     0     0 1233  728 97  4  0  0  0
 6  0      0 536732  78160 1512672    0    0     0    48 1218  761 96  4  0  0  0
 4  0      0 541196  78160 1504524    0    0     0     0 1189  714 97  3  0  0  0
 5  0      0 548484  78160 1512608    0    0     0     0 1271  915 97  3  0  0  0
 4  0      0 553652  78160 1512384    0    0     0     0 1217  745 96  4  0  0  0
 4  0      0 549624  78160 1512324    0    0     0     0 1357 1038 96  5  0  0  0
 1  1      0 2808016  78168 1512316    0    0     0    64  973  741 40  6 50  5  0
 2  0      0 934432  78168 1504128    0    0     0    16  630  890 20  8 71  2  0
 4  0      0 590768  78168 1510800    0    0     0     0 1137  788 60 11 30  0  0
 4  0      0 579204  78168 1510800    0    0     0     0 1211  667 96  4  0  0  0
 4  0      0 578704  78168 1502608    0    0     0     0 1133  442 97  3  0  0  0
 4  0      0 576212  78168 1510800    0    0     0     0 1207  759 97  3  0  0  0
 4  0      0 573188  78184 1510800    0    0     0    76 1279  983 97  3  0  0  0
 4  0      0 572688  78184 1502716    0    0     0     0 1124  514 96  4  0  0  0
 4  0      0 569144  78184 1510800    0    0     0     0 1417  918 96  4  0  0  0
 4  1      0 566388  78192 1510684    0    0     0    80 1224  850 96  4  0  0  0
 4  0      0 567396  78208 1502716    0    0     0    56 1164  518 96  4  0  0  0
 4  0      0 558072  78208 1510800    0    0     0     0 1249 1016 95  5  0  0  0
 5  0      0 557568  78208 1510864    0    0     0     0 1203  851 96  5  0  0  0
 4  0      0 565308  78216 1502652    0    0     0   308 1183  490 96  4  0  0  0
 4  0      0 555804  78216 1510800    0    0     0     0 1263  753 96  4  0  0  0
 0  0      0 3726200  78216 1510832    0    0     0     0 1051  886 34  4 63  0  0
 0  0      0 3729952  78216 1510772    0    0     0     0  625 1420  6  5 89  0  0
 0  0      0 3726704  78216 1510772    0    0     0     0  502  963  3  2 94  0  0
 0  0      0 3716624  78224 1510832    0    0     0    88  348  801  2  1 91  6  0
 0  0      0 3724184  78224 1502576    0    0     0     0  281  580  1  1 98  0  0
 0  0      0 3725868  78224 1510768    0    0     0     0  409  903  2  1 98  0  0
 2  0      0 3725112  78224 1509300    0    0     0     0  592 1471  4  3 93  0  0
 0  0      0 3722340  78224 1510836    0    0     0     0  395  838  2  1 98  0  0
 0  1      0 3714024  78232 1510828    0    0     0    56  328  752  2  1 94  4  0
 0  0      0 3714024  78232 1510832    0    0     0     0  241  549  1  0 97  2  0
 0  0      0 3715536  78232 1510768    0    0     0     0  780  927  7  1 93  0  0
 0  0      0 3714560  78232 1510772    0    0     0     0  661 1809  5  4 91  0  0
 0  0      0 3722120  78232 1501044    0    0     0     8  292  611  1  1 98  0  0
 0  0      0 3697676  78232 1510772    0    0     0     0  342  771  2  2 96  0  0
 0  0      0 3694652  78248 1510768    0    0     0    64  387  815  2  1 85 13  0
