procs -----------memória--------- ---swap-- ----e/s---- -sistema- ------cpu-----
 r  b   swpd  livre   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 294912 3922932  26612 980700    1   24  3096  1865  620 2300 22 10 68  1  0
 1  0 294656 3909284  26660 974664  976    0  1078   288  861 2115  5  2 92  1  0
 0  0 294400 3902732  26792 974744  640    0   940     0 1075 3373 11  6 82  0  0
 0  0 294400 3885120  26792 982864   12    0    12     4 1509 2253 13  2 85  0  0
 0  0 294400 3886016  26808 980260    0    0     0    96 2041 3106 21  5 74  0  0
 0  0 294400 3903528  26824 976676    0    0     0   112  389  786  1  1 98  0  0
 0  0 294144 3883484  26828 979344 1420    0 12732     0 1281 3802  7  8 82  2  0
 0  0 294144 3883232  26828 979344    0    0     0     0  223  499  1  0 99  0  0
 4  0 294144 3823864  26860 980872    8    0     8   188 1135 1621 14  7 79  0  0
 4  0 294144 3575696  26860 978056   16    0    16     0  911  920 42 11 47  0  0
 0  0 293888 3379268  26860 977988   56    0    56     0  847  968 37 13 50  0  0
 0  0 293632 3244120  26860 977672  516    0   516   132 1033 1636 27 13 60  0  0
 4  0 293632 3060476  26860 977672   12    0    12     0  643  713 26 11 64  0  0
 4  0 293632 2789492  26876 977156    4    0     4    88 1338  892 43 16 41  0  0
 0  0 293632 2602868  26876 977412    4    0     4     0 1007 1187 36 13 52  0  0
 0  0 293632 2440048  26876 977412    8    0     8     0  614  710 24 10 66  0  0
 1  0 293632 2270372  26876 977416  112    0   112    20  885 1329 26 12 62  0  0
 4  0 293632 2011772  26876 977416   12    0    12     0  809  737 40 13 47  0  0
 0  0 293632 1795140  26876 977412   20    0    20     0  863  932 35 14 51  0  0
 0  0 293632 1638368  26884 977412    0    0     0    20  609  782 23 11 66  0  0
 4  0 293632 1458532  26884 977536    0    0   124     0  932  810 32  9 59  0  0
 6  0 293632 1206184  26904 977520    8    0    12    92 1108 1296 42 17 42  0  0
 1  0 293632 1017212  26904 977540    4    0     4     0  851  953 33 13 54  0  0
 0  0 293632 855400  26904 977540    4    0     4     0  650  736 26  7 66  0  0
 4  0 293632 682812  26904 977536    0    0     0     0  724  871 28  9 62  0  0
 4  0 293632 403424  26904 977536    8    0     8     0  835  685 41 15 45  0  0
 0  0 296192 247548  26904 980696   76 2544    76  2544 1016 1246 31 16 53  0  0
 0  0 317696 3924620  26912 973868  116 21508   116 21528 26283 1565 33 21 45  1  0
 0  0 317696 3924372  26936 973740    0    0     0   136  304  707  1  1 98  0  0
 0  0 317696 3931932  26936 965548   44    0    44   120  306  713  1  1 98  0  0
 0  0 317696 3932184  26936 965292    0    0     0     0  253  565  1  0 99  0  0
 2  0 317696 3934804  26936 971928   36    0    36     0  370 1027  2  2 96  0  0
 0  0 317696 3934804  26952 970320    0    0     8   184  300  669  1  1 98  0  0
 0  0 317696 3934804  26952 969992    0    0     0     0  210  502  1  0 99  0  0
 0  0 317696 3934804  26952 969992    0    0     0    20  208  474  0  0 99  0  0
 0  0 317696 3934804  26952 969992    4    0     4     0  182  473  1  0 99  0  0
 0  0 317696 3934804  26968 969976    4    0     4   136  233  580  1  1 99  0  0
 0  0 317696 3934804  26968 969736    4    0     4     0  233  500  1  0 99  0  0
 0  0 317696 3934804  26968 969736    0    0     0     0  220  511  1  0 99  0  0
 1  0 317696 3934804  26968 969736    0    0     0     0  167  458  1  0 99  0  0
 0  0 317696 3934804  26968 969736    0    0     0     0  179  413  0  1 99  0  0
 0  0 317696 3934556  26968 969736    0    0     0    76  183  428  1  0 99  0  0
 1  0 317696 3923984  26976 978184   44    0    44    12  516 1300  2  2 96  0  0
 0  0 317696 3927764  26976 969992    0    0     0     0  223  494  1  0 99  0  0
 0  0 317696 3927764  26992 970156    4    0   293    88  307  692  1  1 98  0  0
 0  0 317696 3927764  26992 970268    0    0     0     0  262  567  1  1 98  0  0
 0  0 317696 3927516  26992 970268    8    0     8     0  219  493  1  0 99  0  0
 0  0 317696 3923484  26992 978460    0    0     0     0  502 1269  3  1 96  0  0
 0  0 317696 3917436  26992 970376    0    0     0     0  255  536  2  1 98  0  0
 0  0 317696 3917436  27000 970268    4    0     4    20  216  480  1  0 99  0  0
 0  0 317696 3917436  27000 970268    0    0     0     0  222  511  0  1 99  0  0
 0  0 317696 3917436  27000 970268    4    0     4     0  182  465  0  0 99  0  0
 1  0 317696 3915432  27000 978460   80    0    80     0  498 1255  3  1 96  0  0
 4  0 317696 3899864  27000 995516  116    0  2575     0 1739 5441 16  4 80  0  0
 2  0 312576 3868916  27000 1011856 12708    0 16460     0 5643 13042 32  9 55  4  0
 8  0 295936 3832124  27144 1038672 13800    0 24979   112 6179 15768 38 14 40  8  0
 0  0 295936 3816596  27144 1042612   24    0  4052     4 1469 3197 15  3 83  0  0
 0  0 295936 3855820  27144 1013084   72    0    72     0 2169 4359 16  5 79  0  0
 0  0 295936 3859600  27144 1010564   20    0   116     0  811 2494  6  2 91  0  0
 2  0 295936 3859348  27144 1007012   76    0    76     0  684 1435  3  1 96  0  0
